Days_for_shipping_(real),Days_for_shipment_(scheduled),Delivery_Status,Late_delivery_risk,Customer_City,Customer_Country,Customer_Zipcode,Latitude,Longitude,Market,Order_City,Order_Country,Order_Region,Order_State,Order_Status,Product_Name,Product_Price,Shipping_Mode,order_date,order_time,shipping_date,shipping_time,processing_time,shipment_status,order_city_latitude,order_city_longitude,distance,multiplier,approx_time,transit_time,effective_delivery_time
4,4,Shipping on time,0,New York,USA,10029,40.79290009,-73.94426727,Pacific Asia,Hubli,India,South Asia,Karnataka,COMPLETE,Smart watch ,327.75,Standard Class,04-12-2024,5:09:00,08-12-2024,5:09:00,4,Delayed,15.355,75.1362,13004.89353,1,13004.8935,4,8
3,4,Advance shipping,0,Brownsville,USA,78521,25.92748261,-97.48326111,Pacific Asia,Hubli,India,South Asia,Karnataka,CLOSED,Smart watch ,327.75,Standard Class,04-12-2024,4:48:00,07-12-2024,4:48:00,3,On time,15.3502,75.1376,15356.27613,1,15356.2761,4,7
3,4,Advance shipping,0,Brownsville,USA,78521,25.92748261,-97.48326111,Pacific Asia,Hubli,India,South Asia,Karnataka,CLOSED,Smart watch ,327.75,Standard Class,04-12-2024,4:48:00,07-12-2024,4:48:00,3,On time,15.355,75.1362,15355.72448,1,15355.7245,4,7
4,4,Shipping on time,0,Caguas,Puerto Rico,725,18.2852459,-66.03704834,Pacific Asia,Madurai,India,South Asia,Tamil Nadu,ON_HOLD,Smart watch ,327.75,Standard Class,04-12-2024,3:24:00,08-12-2024,3:24:00,4,Delayed,9.9252,78.1198,14984.22612,1,14984.2261,4,8
5,4,Late delivery,1,Saint Louis,USA,63136,38.66429138,-90.24147034,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99000168,Standard Class,25-11-2022,10:03:00,30-11-2022,10:03:00,5,Delayed,13.0825,80.275,14177.2087,1,14177.2087,4,9
6,4,Late delivery,1,Panorama City,USA,91402,37.73804474,-120.9601974,Pacific Asia,Thiruvananthapuram,India,South Asia,Kerala,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class,12-01-2023,12:47:00,18-01-2023,12:47:00,6,Delayed,8.5241,76.9366,14545.10127,1,14545.1013,4,10
5,4,Late delivery,1,Saint Louis,USA,63136,38.66429138,-90.24147034,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class,25-11-2022,10:03:00,30-11-2022,10:03:00,5,Delayed,13.0825,80.275,14177.2087,1,14177.2087,4,9
6,4,Late delivery,1,Panorama City,USA,91402,37.73804474,-120.9601974,Pacific Asia,Thiruvananthapuram,India,South Asia,Kerala,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class,12-01-2023,12:47:00,18-01-2023,12:47:00,6,Delayed,8.5241,76.9366,14545.10127,1,14545.1013,4,10
6,4,Late delivery,1,Caguas,Puerto Rico,725,18.25953102,-66.37055206,Pacific Asia,Nagercoil,India,South Asia,Tamil Nadu,CLOSED,Nike Dri-FIT Crew Sock 6 Pack,22,Standard Class,15-01-2023,19:36:00,21-01-2023,19:36:00,6,Delayed,8.175,77.4306,15073.71165,1,15073.7117,4,10
5,4,Late delivery,1,Lutz,USA,33549,28.08681297,-82.43898773,Pacific Asia,Bangalore,India,South Asia,Karnataka,PENDING_PAYMENT,Nike Dri-FIT Crew Sock 6 Pack,22,Standard Class,11-12-2022,4:25:00,16-12-2022,4:25:00,5,Delayed,12.9789,77.5917,14967.86538,1,14967.8654,4,9
4,4,Shipping on time,0,Caguas,Puerto Rico,725,18.28431702,-66.3705368,Pacific Asia,Mangalore,India,South Asia,Karnataka,PENDING_PAYMENT,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,Standard Class,07-02-2023,4:41:00,11-02-2023,4:41:00,4,Delayed,12.8681,74.8425,14529.55307,1,14529.5531,4,8
5,2,Late delivery,1,Caguas,Puerto Rico,725,18.2907753,-66.03704834,Pacific Asia,Bangalore,India,South Asia,Karnataka,COMPLETE,Adult dog supplies,84.40000153,Second Class,02-12-2024,0:57:00,07-12-2024,0:57:00,5,Delayed,12.9789,77.5917,14723.85282,0.8,11779.0823,3,8
6,2,Late delivery,1,Caguas,Puerto Rico,725,18.20696259,-66.37062073,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,Second Class,03-03-2023,20:14:00,09-03-2023,20:14:00,6,Delayed,13.0825,80.275,14966.79123,0.8,11973.433,3,9
4,2,Late delivery,1,Caguas,Puerto Rico,725,18.26159096,-66.37058258,Pacific Asia,Bangalore,India,South Asia,Karnataka,COMPLETE,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,Second Class,12-01-2023,10:20:00,16-01-2023,10:20:00,4,Delayed,12.9789,77.5917,14753.39219,0.8,11802.7138,3,7
1,0,Late delivery,1,Caguas,Puerto Rico,725,18.22852516,-66.03705597,Pacific Asia,Bijapur,India,South Asia,Karnataka,CLOSED,Rock music,260.6499939,Same Day,26-11-2024,17:26:00,27-11-2024,5:26:00,1,On time,16.83,75.71,14295.44228,0,0,1,2
6,4,Late delivery,1,Panorama City,USA,91402,37.73804474,-120.9601974,Pacific Asia,Thiruvananthapuram,India,South Asia,Kerala,COMPLETE,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,Standard Class,12-01-2023,12:47:00,18-01-2023,12:47:00,6,Delayed,8.5241,76.9366,14545.10127,1,14545.1013,4,10
2,4,Advance shipping,0,Brooklyn,USA,11236,40.64571381,-73.8972168,Pacific Asia,Bangalore,India,South Asia,Karnataka,COMPLETE,Fighting video games,39.75,Standard Class,08-12-2024,20:34:00,10-12-2024,20:34:00,2,On time,12.9789,77.5917,13368.47682,1,13368.4768,4,6
3,4,Advance shipping,0,Simi Valley,USA,93063,34.26791382,-118.6712112,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,ON_HOLD,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,Standard Class,13-03-2023,22:41:00,16-03-2023,22:41:00,3,On time,13.0825,80.275,14381.80269,1,14381.8027,4,7
2,4,Advance shipping,0,Yonkers,USA,10701,40.93531036,-73.8874588,Pacific Asia,Bangalore,India,South Asia,Karnataka,PENDING,TYR Boys' Team Digi Jammer,39.99000168,Standard Class,25-12-2022,10:42:00,27-12-2022,10:42:00,2,On time,12.9789,77.5917,13340.88524,1,13340.8852,4,6
5,4,Late delivery,1,West New York,USA,7093,40.78874207,-74.00895691,Pacific Asia,Bangalore,India,South Asia,Karnataka,PROCESSING,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class,26-12-2022,3:31:00,31-12-2022,3:31:00,5,Delayed,12.9789,77.5917,13360.12047,1,13360.1205,4,9
4,4,Shipping canceled,0,Bridgeton,USA,8302,39.42603684,-75.23985291,Pacific Asia,Kochi,India,South Asia,Kerala,CANCELED,Perfect Fitness Perfect Rip Deck,59.99000168,Standard Class,07-01-2023,9:27:00,11-01-2023,9:27:00,4,Delayed,9.9312,76.2673,13788.08382,1,13788.0838,4,8
2,1,Late delivery,1,Caguas,Puerto Rico,725,18.28384781,-66.37060547,Pacific Asia,Thiruvananthapuram,India,South Asia,Kerala,COMPLETE,Nike Women's Legend V-Neck T-Shirt,25,First Class,02-01-2023,12:48:00,04-01-2023,12:48:00,2,On time,8.5241,76.9366,15005.45572,0.5,7502.7279,2,4
4,2,Late delivery,1,College Station,USA,77840,30.62612915,-96.34500122,Pacific Asia,Hubli,India,South Asia,Karnataka,COMPLETE,Nike Women's Legend V-Neck T-Shirt,25,Second Class,27-10-2022,10:16:00,31-10-2022,10:16:00,4,Delayed,15.3502,75.1376,14822.15322,0.8,11857.7226,3,7
4,2,Late delivery,1,College Station,USA,77840,30.62612915,-96.34500122,Pacific Asia,Hubli,India,South Asia,Karnataka,COMPLETE,Nike Women's Legend V-Neck T-Shirt,25,Second Class,27-10-2022,10:16:00,31-10-2022,10:16:00,4,Delayed,15.355,75.1362,14821.60144,0.8,11857.2812,3,7
2,1,Late delivery,1,Fairfield,USA,94533,38.25131607,-122.0456543,Pacific Asia,Tiruppur,India,South Asia,Tamil Nadu,CLOSED,Team Golf St. Louis Cardinals Putter Grip,24.98999977,First Class,02-01-2023,14:33:00,04-01-2023,14:33:00,2,On time,11.1085,77.3411,14168.14149,0.5,7084.0707,2,4
2,1,Late delivery,1,San Bernardino,USA,92410,34.11592865,-117.2950821,Pacific Asia,Bangalore,India,South Asia,Karnataka,CLOSED,Diamondback Women's Serene Classic Comfort Bi,299.980011,First Class,30-01-2023,7:30:00,01-02-2023,7:30:00,2,On time,12.9789,77.5917,14546.72056,0.5,7273.3603,2,4
2,1,Late delivery,1,Salem,USA,97303,44.97959518,-123.0267334,Pacific Asia,Bellary,India,South Asia,Karnataka,CLOSED,Diamondback Women's Serene Classic Comfort Bi,299.980011,First Class,17-11-2022,20:13:00,19-11-2022,20:13:00,2,On time,15.1,76.9167,13037.36705,0.5,6518.6835,2,4
2,1,Late delivery,1,Las Vegas,USA,89117,36.05503845,-115.1379852,Pacific Asia,Tiruppur,India,South Asia,Tamil Nadu,CLOSED,Fighting video games,39.75,First Class,20-01-2025,6:40:00,22-01-2025,6:40:00,2,On time,11.1085,77.3411,14609.77648,0.5,7304.8882,2,4
4,4,Shipping on time,0,Caguas,Puerto Rico,725,18.28431702,-66.3705368,Pacific Asia,Mangalore,India,South Asia,Karnataka,PENDING_PAYMENT,Under Armour Men's Compression EV SL Slide,44.99000168,Standard Class,07-02-2023,4:41:00,11-02-2023,4:41:00,4,Delayed,12.8681,74.8425,14529.55307,1,14529.5531,4,8
2,2,Shipping on time,0,Caguas,Puerto Rico,725,18.27389526,-66.03705597,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,COMPLETE,Fighting video games,39.75,Second Class,24-01-2025,3:09:00,26-01-2025,3:09:00,2,On time,13.0825,80.275,14935.3512,0.8,11948.281,3,5
6,2,Late delivery,1,Caguas,Puerto Rico,725,18.25134277,-66.37050629,Pacific Asia,Mangalore,India,South Asia,Karnataka,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50,Second Class,01-12-2022,8:17:00,07-12-2022,8:17:00,6,Delayed,12.8681,74.8425,14531.72453,0.8,11625.3796,3,9
3,4,Advance shipping,0,Los Angeles,USA,90011,34.02759934,-118.2654419,Pacific Asia,Ambattur,India,South Asia,Tamil Nadu,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99000168,Standard Class,14-01-2023,11:01:00,17-01-2023,11:01:00,3,On time,13.1143,80.1548,14422.49722,1,14422.4972,4,7
2,4,Advance shipping,0,Troy,USA,48098,42.5804596,-83.15601349,Pacific Asia,Thiruvananthapuram,India,South Asia,Kerala,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class,12-01-2023,13:08:00,14-01-2023,13:08:00,2,On time,8.5241,76.9366,13983.84277,1,13983.8428,4,6
5,4,Late delivery,1,Mesa,USA,85204,33.41001129,-111.7717972,Pacific Asia,Coimbatore,India,South Asia,Tamil Nadu,ON_HOLD,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class,08-01-2023,6:50:00,13-01-2023,6:50:00,5,Delayed,11.0167,76.9556,14989.30154,1,14989.3015,4,9
4,4,Shipping canceled,0,Bridgeton,USA,8302,39.42603684,-75.23985291,Pacific Asia,Kochi,India,South Asia,Kerala,CANCELED,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class,07-01-2023,9:27:00,11-01-2023,9:27:00,4,Delayed,9.9312,76.2673,13788.08382,1,13788.0838,4,8
2,1,Late delivery,1,Caguas,Puerto Rico,725,18.21853447,-66.37056732,Pacific Asia,Hubli,India,South Asia,Karnataka,PENDING,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,First Class,08-12-2022,11:15:00,10-12-2022,11:15:00,2,On time,15.3502,75.1376,14384.05858,0.5,7192.0293,2,4
2,1,Late delivery,1,Caguas,Puerto Rico,725,18.21853447,-66.37056732,Pacific Asia,Hubli,India,South Asia,Karnataka,PENDING,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,First Class,08-12-2022,11:15:00,10-12-2022,11:15:00,2,On time,15.355,75.1362,14383.59982,0.5,7191.7999,2,4
3,2,Late delivery,1,Caguas,Puerto Rico,725,18.26667023,-66.37062073,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,PROCESSING,Diamondback Women's Serene Classic Comfort Bi,299.980011,Second Class,25-10-2022,21:07:00,28-10-2022,21:07:00,3,On time,13.0825,80.275,14962.41403,0.8,11969.9312,3,6
4,2,Late delivery,1,Caguas,Puerto Rico,725,18.29590225,-66.03705597,Pacific Asia,Salem,India,South Asia,Tamil Nadu,PROCESSING,Fighting video games,39.75,Second Class,18-01-2025,21:44:00,22-01-2025,21:44:00,4,Delayed,11.65,78.15,14865.01855,0.8,11892.0148,3,7
5,4,Late delivery,1,Saint Louis,USA,63136,38.66429138,-90.24147034,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class,25-11-2022,10:03:00,30-11-2022,10:03:00,5,Delayed,13.0825,80.275,14177.2087,1,14177.2087,4,9
5,4,Late delivery,1,Saint Louis,USA,63136,38.66429138,-90.24147034,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,COMPLETE,Nike Men's Free 5.0+ Running Shoe,99.98999786,Standard Class,25-11-2022,10:03:00,30-11-2022,10:03:00,5,Delayed,13.0825,80.275,14177.2087,1,14177.2087,4,9
6,4,Late delivery,1,Panorama City,USA,91402,37.73804474,-120.9601974,Pacific Asia,Thiruvananthapuram,India,South Asia,Kerala,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class,12-01-2023,12:47:00,18-01-2023,12:47:00,6,Delayed,8.5241,76.9366,14545.10127,1,14545.1013,4,10
2,1,Late delivery,1,Fairfield,USA,94533,38.25131607,-122.0456543,Pacific Asia,Tiruppur,India,South Asia,Tamil Nadu,CLOSED,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,First Class,02-01-2023,14:33:00,04-01-2023,14:33:00,2,On time,11.1085,77.3411,14168.14149,0.5,7084.0707,2,4
2,1,Late delivery,1,San Bernardino,USA,92410,34.11592865,-117.2950821,Pacific Asia,Bangalore,India,South Asia,Karnataka,CLOSED,Nike Men's Free 5.0+ Running Shoe,99.98999786,First Class,30-01-2023,7:30:00,01-02-2023,7:30:00,2,On time,12.9789,77.5917,14546.72056,0.5,7273.3603,2,4
2,1,Late delivery,1,Salem,USA,97303,44.97959518,-123.0267334,Pacific Asia,Bellary,India,South Asia,Karnataka,CLOSED,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,First Class,17-11-2022,20:13:00,19-11-2022,20:13:00,2,On time,15.1,76.9167,13037.36705,0.5,6518.6835,2,4
2,1,Late delivery,1,Salem,USA,97303,44.97959518,-123.0267334,Pacific Asia,Bellary,India,South Asia,Karnataka,CLOSED,Perfect Fitness Perfect Rip Deck,59.99000168,First Class,17-11-2022,20:13:00,19-11-2022,20:13:00,2,On time,15.1,76.9167,13037.36705,0.5,6518.6835,2,4
2,1,Late delivery,1,Salem,USA,97303,44.97959518,-123.0267334,Pacific Asia,Bellary,India,South Asia,Karnataka,CLOSED,Glove It Women's Mod Oval 3-Zip Carry All Gol,21.98999977,First Class,17-11-2022,20:13:00,19-11-2022,20:13:00,2,On time,15.1,76.9167,13037.36705,0.5,6518.6835,2,4
5,2,Late delivery,1,Beaverton,USA,97007,45.48323059,-122.8469543,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,CLOSED,Perfect Fitness Perfect Rip Deck,59.99000168,Second Class,10-01-2023,14:53:00,15-01-2023,14:53:00,5,Delayed,13.0825,80.275,13100.74428,0.8,10480.5954,3,8
5,2,Late delivery,1,Warren,USA,48093,42.51310349,-83.0218277,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,CLOSED,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,Second Class,03-03-2023,19:53:00,08-03-2023,19:53:00,5,Delayed,13.0825,80.275,13602.03033,0.8,10881.6243,3,8
5,2,Late delivery,1,Warren,USA,48093,42.51310349,-83.0218277,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,CLOSED,Nike Men's Dri-FIT Victory Golf Polo,50,Second Class,03-03-2023,19:53:00,08-03-2023,19:53:00,5,Delayed,13.0825,80.275,13602.03033,0.8,10881.6243,3,8
5,2,Late delivery,1,Beaverton,USA,97007,45.48323059,-122.8469543,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,CLOSED,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,Second Class,10-01-2023,14:53:00,15-01-2023,14:53:00,5,Delayed,13.0825,80.275,13100.74428,0.8,10480.5954,3,8
5,2,Late delivery,1,Beaverton,USA,97007,45.48323059,-122.8469543,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,CLOSED,Bridgestone e6 Straight Distance NFL San Dieg,31.98999977,Second Class,10-01-2023,14:53:00,15-01-2023,14:53:00,5,Delayed,13.0825,80.275,13100.74428,0.8,10480.5954,3,8
5,2,Late delivery,1,Beaverton,USA,97007,45.48323059,-122.8469543,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,CLOSED,Perfect Fitness Perfect Rip Deck,59.99000168,Second Class,10-01-2023,14:53:00,15-01-2023,14:53:00,5,Delayed,13.0825,80.275,13100.74428,0.8,10480.5954,3,8
2,4,Advance shipping,0,Columbus,USA,43207,41.44664383,-82.70783997,Pacific Asia,Bangalore,India,South Asia,Karnataka,PENDING,Perfect Fitness Perfect Rip Deck,59.99000168,Standard Class,21-12-2022,5:06:00,23-12-2022,5:06:00,2,On time,12.9789,77.5917,13634.28585,1,13634.2859,4,6
2,1,Late delivery,1,Roseville,USA,48066,41.86886215,-84.57365418,Pacific Asia,Tiruppur,India,South Asia,Tamil Nadu,CLOSED,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,First Class,02-01-2023,15:15:00,04-01-2023,15:15:00,2,On time,11.1085,77.3411,13840.85798,0.5,6920.429,2,4
2,1,Late delivery,1,Roseville,USA,48066,41.86886215,-84.57365418,Pacific Asia,Tiruppur,India,South Asia,Tamil Nadu,CLOSED,TYR Boys' Team Digi Jammer,39.99000168,First Class,02-01-2023,15:15:00,04-01-2023,15:15:00,2,On time,11.1085,77.3411,13840.85798,0.5,6920.429,2,4
4,2,Late delivery,1,Brooklyn,USA,11229,40.6377182,-73.94229889,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,CLOSED,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,Second Class,02-01-2023,10:20:00,06-01-2023,10:20:00,4,Delayed,13.0825,80.275,13477.71708,0.8,10782.1737,3,7
4,2,Late delivery,1,Brooklyn,USA,11229,40.6377182,-73.94229889,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,CLOSED,Perfect Fitness Perfect Rip Deck,59.99000168,Second Class,02-01-2023,10:20:00,06-01-2023,10:20:00,4,Delayed,13.0825,80.275,13477.71708,0.8,10782.1737,3,7
4,2,Late delivery,1,Brooklyn,USA,11229,40.6377182,-73.94229889,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,CLOSED,Nike Men's Dri-FIT Victory Golf Polo,50,Second Class,02-01-2023,10:20:00,06-01-2023,10:20:00,4,Delayed,13.0825,80.275,13477.71708,0.8,10782.1737,3,7
2,1,Late delivery,1,Apex,USA,27502,35.73103714,-78.85575104,Pacific Asia,Bangalore,India,South Asia,Karnataka,PENDING_PAYMENT,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,First Class,25-02-2023,2:33:00,27-02-2023,2:33:00,2,On time,12.9789,77.5917,14059.43283,0.5,7029.7164,2,4
2,1,Late delivery,1,Knoxville,USA,37922,35.81311417,-84.17388916,Pacific Asia,Bangalore,India,South Asia,Karnataka,PENDING_PAYMENT,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,First Class,22-12-2022,18:14:00,24-12-2022,18:14:00,2,On time,12.9789,77.5917,14260.90573,0.5,7130.4529,2,4
2,1,Late delivery,1,Miami,USA,33157,25.58456993,-80.37361145,Pacific Asia,Madurai,India,South Asia,Tamil Nadu,PENDING_PAYMENT,Perfect Fitness Perfect Rip Deck,59.99000168,First Class,21-11-2022,7:57:00,23-11-2022,7:57:00,2,On time,9.9252,78.1198,15431.37661,0.5,7715.6883,2,4
2,1,Late delivery,1,San Antonio,USA,78201,29.45694161,-98.52787018,Pacific Asia,Tiruppur,India,South Asia,Tamil Nadu,PENDING_PAYMENT,Team Golf St. Louis Cardinals Putter Grip,24.98999977,First Class,02-01-2023,14:54:00,04-01-2023,14:54:00,2,On time,11.1085,77.3411,15482.71143,0.5,7741.3557,2,4
2,1,Late delivery,1,Knoxville,USA,37922,35.81311417,-84.17388916,Pacific Asia,Bangalore,India,South Asia,Karnataka,PENDING_PAYMENT,Nike Men's Dri-FIT Victory Golf Polo,50,First Class,22-12-2022,18:14:00,24-12-2022,18:14:00,2,On time,12.9789,77.5917,14260.90573,0.5,7130.4529,2,4
2,4,Advance shipping,0,Caguas,Puerto Rico,725,18.23888779,-66.0370636,Pacific Asia,Hubli,India,South Asia,Karnataka,COMPLETE,Industrial consumer electronics,252.8800049,Standard Class,26-12-2024,3:43:00,28-12-2024,3:43:00,2,On time,15.3502,75.1376,14355.24425,1,14355.2443,4,6
2,4,Advance shipping,0,Caguas,Puerto Rico,725,18.23888779,-66.0370636,Pacific Asia,Hubli,India,South Asia,Karnataka,COMPLETE,Industrial consumer electronics,252.8800049,Standard Class,26-12-2024,3:43:00,28-12-2024,3:43:00,2,On time,15.355,75.1362,14354.78678,1,14354.7868,4,6
2,4,Advance shipping,0,Caguas,Puerto Rico,725,18.29663467,-66.03705597,Pacific Asia,Mangalore,India,South Asia,Karnataka,COMPLETE,Adult dog supplies,84.40000153,Standard Class,08-01-2025,1:47:00,10-01-2025,1:47:00,2,On time,12.8681,74.8425,14500.34961,1,14500.3496,4,6
4,4,Shipping on time,0,Caguas,Puerto Rico,725,18.2421093,-66.37052155,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,COMPLETE,Nike Men's Free 5.0+ Running Shoe,99.98999786,Standard Class,23-02-2023,2:34:00,27-02-2023,2:34:00,4,Delayed,13.0825,80.275,14964.2072,1,14964.2072,4,8
2,4,Advance shipping,0,Caguas,Puerto Rico,725,18.23605919,-66.37056732,Pacific Asia,Avadi,India,South Asia,Tamil Nadu,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,Standard Class,09-03-2023,7:58:00,11-03-2023,7:58:00,2,On time,13.1147,80.1098,14949.09209,1,14949.0921,4,6
4,4,Shipping on time,0,Caguas,Puerto Rico,725,18.26167488,-66.3706131,Pacific Asia,Belgaum,India,South Asia,Karnataka,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,Standard Class,03-11-2022,19:11:00,07-11-2022,19:11:00,4,Delayed,15.85,74.5,14293.00621,1,14293.0062,4,8
